PCR ID,Catchment [Km2],Latitude,Longitude,Reservoir Size,Surface [Km2]
1,3733374.91370,-5.51613,13.62162,20.00000,4.90214
2,2902572.96482,23.97331,32.88311,162000.00000,5385.34000
3,2437134.99233,18.49256,31.81808,12390.00000,730.61000
4,1741236.76718,9.13764,4.78678,3880.00000,274.76000
5,1708333.68216,15.23889,32.46472,3500.00000,933.50000
6,1700416.24868,9.86102,4.61301,15000.00000,1034.85000
7,419801.10171,6.29980,0.05940,148017.82100,6045.16000
8,266305.78784,0.49833,33.13750,0.75000,0.25081
9,266241.88930,0.44362,33.18452,204800.00000,5225.16393
10,206904.12614,13.29707,33.88606,930.00000,20.21000
11,195806.15260,11.79833,34.38833,3000.00000,225.28000
12,164344.71287,-15.86670,28.50000,785.00000,12.95000
13,137405.13217,8.27719,-2.23520,12570.00000,352.64000
14,133951.39074,3.81278,10.12778,5.80000,0.68000
15,132218.96381,4.07806,10.46500,10.00000,1.78274
16,122352.21176,-9.75338,14.48084,20.00000,1.02000
17,120171.95346,-29.99337,24.73384,3240.00000,173.71231
18,119338.41367,-9.74114,15.13017,533.00000,41.37332
19,115590.54071,-9.79530,15.46690,4975.00000,178.85000
20,113614.18560,-15.75985,26.02126,4925.00000,328.54000
21,106540.46201,14.92220,35.90830,1300.00000,82.70701
22,94278.15849,-30.62396,25.50403,5673.80000,262.18047
23,91659.41945,-17.38600,14.21400,5034.10000,237.48701
24,83302.19181,-7.68000,36.97000,165.00000,5.57000
25,72516.82240,34.66297,-2.93800,725.00000,49.31961
26,71562.80660,-7.15075,36.03817,3200.00000,443.68000
27,71003.49431,14.27670,35.89690,2.70000,0.57822
28,63933.45871,5.79062,-6.63553,83.00000,8.66365
29,61182.56176,6.21066,-5.08388,630.00000,29.67000
30,54052.71239,9.68056,12.01515,615.00000,68.52000
31,49022.61600,33.14261,-8.10668,2.00000,0.43287
32,48923.60253,6.24460,-7.02750,8300.00000,509.20000
33,45523.42180,32.93581,-8.06347,9.50000,1.47743
34,44046.66134,32.72587,-7.92684,83.00000,2.03000
35,40350.66754,32.47535,-7.63754,2760.00000,131.56003
36,39144.30750,-5.35000,38.65000,1.40000,0.31609
37,39057.22974,-5.28330,38.60000,1.90000,1.05000
38,37401.59451,11.47701,-0.54687,1700.00000,88.58897
39,36071.44055,9.97461,6.83345,7000.00000,271.12000
40,34942.12062,6.84979,37.30241,14690.00000,149.50000
41,33688.42187,7.02609,-5.47121,28800.00000,500.38000
42,33504.14502,10.32176,11.48124,800.00000,47.94250
43,33438.34172,36.79976,9.77309,5.00000,0.85030
44,33161.55602,11.63880,-8.22950,2166.00000,105.62163
45,32438.85831,13.34763,38.74316,9000.00000,326.48126
46,31688.73883,9.06000,13.68806,7800.00000,623.12000
47,29525.25573,13.19889,-10.43096,11000.00000,438.38000
48,27675.93410,36.59097,9.39750,555.00000,40.11000
49,20882.28704,-7.38545,21.18051,78.00000,19.29000
50,20456.47206,30.91282,-6.75986,592.00000,35.25930
51,18903.68148,-10.32530,25.42770,25.00000,2.82283
52,17884.52952,-10.50000,25.46670,2770.00000,117.92917
53,17081.41374,11.48870,37.59990,9100.00000,301.46972
54,17079.43788,11.48557,37.58979,9100.00000,301.46491
55,16848.85264,-12.47080,13.73190,2.20000,0.40295
56,16082.27412,7.42400,1.43600,1710.00000,79.22019
57,15713.03526,36.31486,8.70257,200.00000,14.35677
58,14998.08293,-2.93472,16.12778,584.00000,98.62000
59,14528.18256,-4.77056,14.89389,0.97500,0.20682
60,14528.18256,-4.77056,14.89389,0.97500,0.20682
61,13381.00708,-10.71840,27.28390,28.00000,3.20000
62,13168.21588,-3.81670,37.45560,1135.00000,55.64786
63,13152.17142,-10.74520,27.24470,1267.00000,60.72034
64,12389.71871,8.39250,39.35277,22.40000,2.44053
65,12389.71871,8.39320,39.35200,22.40000,2.44053
66,11978.94238,-0.64000,37.91000,585.00000,11.35000
67,11793.80867,8.46840,39.15880,1900.00000,150.30000
68,11264.49031,10.42509,-13.25020,17300.00000,474.18816
69,9824.88987,-0.80622,37.81074,16.00000,2.10000
70,9824.88987,-0.80622,37.81074,16.00000,1.80925
71,9625.64776,-0.79527,37.74936,20.00000,2.55000
72,9529.47186,-0.81220,37.68830,150.00000,8.71000
73,9466.42229,-8.81670,20.49170,1.00000,0.19892
74,9373.96932,7.25947,3.25625,270.00000,26.54000
75,9114.13777,32.10660,-6.46392,1484.00000,65.44913
76,9084.01125,34.60332,-5.19899,3730.00000,74.28000
77,9070.89905,5.60695,-3.16921,710.00000,94.52000
78,8363.92958,-1.77296,13.55116,450.00000,25.06476
