PCR-GLOBWB ID,Catchment [Km2],Latitude,Longitude,Reservoir Size (million m3),Surface area
1.00000,266241.88930,0.44362,33.18452,204800.00000,5225.16393
2.00000,400.04864,-16.53330,28.71670,185000.00000,5276.89000
3.00000,2902572.96500,23.97331,32.88311,162000.00000,5385.34000
4.00000,419801.10170,6.29980,0.05940,148017.82100,6045.16000
5.00000,1191721.39900,-15.71331,32.68445,63000.00000,2048.68000
6.00000,33688.42187,7.02609,-5.47121,28800.00000,500.38000
7.00000,11264.49031,10.42509,-13.25020,17300.00000,474.18816
8.00000,1700416.68800,9.86102,4.61301,15000.00000,1034.85000
9.00000,34942.12062,6.84979,37.30241,14690.00000,149.50000
10.00000,137405.13220,8.27719,-2.23520,12570.00000,352.64000
11.00000,2437134.99200,18.49256,31.81808,12390.00000,730.61000
12.00000,29525.25573,13.19889,-10.43096,11000.00000,438.38000
13.00000,17081.41374,11.48870,37.59990,9100.00000,301.46972
14.00000,17079.43788,11.48557,37.58979,9100.00000,301.46491
15.00000,32438.85831,13.34763,38.74316,9000.00000,326.48126
16.00000,48924.03638,6.24460,-7.02750,8300.00000,509.20000
17.00000,31688.73883,9.06000,13.68806,7800.00000,623.12000
18.00000,36071.44055,9.97461,6.83345,7000.00000,271.12000
19.00000,94278.15849,-30.62396,25.50403,5673.80000,262.18047
20.00000,91659.41945,-17.38600,14.21400,5034.10000,237.48701
21.00000,115590.54070,-9.79530,15.46690,4975.00000,178.85000
22.00000,113614.18560,-15.75985,26.02126,4925.00000,328.54000
23.00000,1741237.20600,9.13764,4.78678,3880.00000,274.76000
24.00000,9084.01125,34.60332,-5.19899,3730.00000,74.28000
25.00000,1708333.68200,15.23889,32.46472,3500.00000,933.50000
26.00000,120171.95350,-29.99337,24.73384,3240.00000,173.71231
27.00000,71562.80660,-7.15075,36.03817,3200.00000,443.68000
28.00000,195806.15260,11.79833,34.38833,3000.00000,225.28000
29.00000,17884.52952,-10.50000,25.46670,2770.00000,117.92917
30.00000,40350.66754,32.47535,-7.63754,2760.00000,131.56003
31.00000,4976.21539,-13.45170,15.87220,2574.00000,85.04000
32.00000,33161.55602,11.63880,-8.22950,2166.00000,105.62163
33.00000,6193.94973,11.08453,0.70158,2050.00000,134.03000
34.00000,11793.80867,8.46840,39.15880,1900.00000,150.30000
35.00000,16082.27412,7.42400,1.43600,1710.00000,79.22019
36.00000,37401.59451,11.47701,-0.54687,1700.00000,88.58897
37.00000,5960.81271,1.89818,35.33373,1645.00000,66.98843
38.00000,2642.12002,10.52830,-12.66350,1600.00000,61.69000
39.00000,7264.78596,-0.87860,37.58920,1560.00000,69.71000
40.00000,3221.89407,-19.15630,33.14450,1540.00000,58.39579
41.00000,9114.13777,32.10660,-6.46392,1484.00000,65.44913
42.00000,106540.46200,14.92220,35.90830,1300.00000,82.70701
43.00000,8080.82680,-25.21000,32.13100,1273.00000,68.93000
44.00000,13152.17142,-10.74520,27.24470,1267.00000,60.72034
45.00000,5309.58922,34.16265,-4.75059,1217.00000,51.89149
46.00000,13168.21588,-3.81670,37.45560,1135.00000,55.64786
47.00000,206904.12610,13.29707,33.88606,930.00000,20.21000
48.00000,4178.01062,9.59602,7.50447,880.00000,38.80369
49.00000,2641.26666,-1.98867,29.63315,846.30000,35.31225
50.00000,4320.36262,7.83780,37.32598,839.00000,48.79000
51.00000,2711.45593,34.94179,-5.83903,807.00000,34.12645
52.00000,33504.58432,10.32176,11.48124,800.00000,47.94258
53.00000,164344.71290,-15.86670,28.50000,785.00000,12.95000
54.00000,4502.06273,7.16961,39.43567,750.00000,34.53009
55.00000,4884.61749,32.69365,-5.88929,740.00000,34.55038
56.00000,72516.82240,34.66297,-2.93800,725.00000,49.31961
57.00000,9070.89905,5.60695,-3.16921,710.00000,94.52000
58.00000,1493.24019,8.81370,38.70801,650.00000,26.46699
59.00000,1372.61814,9.55921,37.36562,650.00000,179.62000
60.00000,61182.99458,6.21066,-5.08388,630.00000,29.67000
61.00000,54053.15169,9.68056,12.01515,615.00000,68.52000
62.00000,20456.47206,30.91282,-6.75986,592.00000,35.25930
63.00000,11978.94238,-0.64000,37.91000,585.00000,11.35000
64.00000,14998.08293,-2.93472,16.12778,584.00000,98.62000
65.00000,27675.93410,36.59097,9.39750,555.00000,40.11000
66.00000,119338.41370,-9.74114,15.13017,533.00000,41.37332
67.00000,8363.92958,-1.77296,13.55116,450.00000,25.06476
68.00000,1236.90138,9.59417,37.23300,448.00000,19.18719
69.00000,4059.35752,9.07137,-11.72265,445.00000,22.48518
70.00000,8027.87795,-26.07799,31.25946,332.00000,9.83000
71.00000,6628.66034,34.04181,-5.90731,297.00000,10.27000
72.00000,2331.06506,31.81477,-6.82347,273.00000,14.12813
73.00000,9373.96932,7.25947,3.25625,270.00000,26.54000
74.00000,0.00000,-19.25451,47.84575,260.00000,0.00000
75.00000,280.36736,10.00662,-12.99537,223.00000,8.98235
76.00000,1156.30817,0.62307,10.40814,220.00000,13.72000
77.00000,15713.03526,36.31486,8.70257,200.00000,14.35677
78.00000,271.58409,36.58247,5.57705,200.00000,2.56000
79.00000,1935.74443,31.64565,-7.26100,197.00000,3.62000
80.00000,2475.97145,-31.78640,27.67750,181.25000,12.90000
81.00000,83302.19181,-7.68000,36.97000,165.00000,5.57000
82.00000,768.06174,36.47107,5.26504,160.00000,2.13000
83.00000,9529.47186,-0.81220,37.68830,150.00000,8.71000
84.00000,599.58814,36.67186,8.79045,145.00000,7.08637
85.00000,0.00000,-19.01166,47.70310,125.00000,0.00000
86.00000,2317.57953,31.35488,-8.13537,96.00000,4.79000
87.00000,63933.89256,5.79062,-6.63553,83.00000,8.66366
88.00000,44046.66134,32.72587,-7.92684,83.00000,2.03000
89.00000,7647.00653,33.91343,-4.64251,81.50000,6.37058
90.00000,299.67296,36.76137,9.00252,81.00000,3.96000
91.00000,20883.15939,-7.38545,21.18051,78.00000,19.29000
92.00000,603.88104,36.74728,8.74145,73.00000,1.77000
93.00000,1610.35863,-12.21398,16.52179,61.70000,6.09000
94.00000,4650.33808,-14.69940,28.82190,41.40000,27.78000
95.00000,1530.44808,8.84900,9.38890,31.00000,2.36750
96.00000,13381.00708,-10.71840,27.28390,28.00000,3.20000
97.00000,18903.68148,-10.32530,25.42770,25.00000,2.82283
98.00000,864.34787,-26.40000,31.16667,23.60000,1.76181
99.00000,12389.71871,8.39250,39.35277,22.40000,2.44053
100.00000,12389.71871,8.39320,39.35200,22.40000,2.44053
101.00000,0.21743,8.35972,-13.19938,20.50000,0.78000
102.00000,3733375.35300,-5.51613,13.62162,20.00000,4.90214
103.00000,122352.21180,-9.75338,14.48084,20.00000,1.02000
104.00000,9625.64776,-0.79527,37.74936,20.00000,2.55000
105.00000,9824.88987,-0.80622,37.81074,16.00000,2.10000
106.00000,9824.88987,-0.80622,37.81074,16.00000,1.80925
107.00000,855.39380,9.92495,-13.10180,14.00000,1.16190
108.00000,132219.39600,4.07806,10.46500,10.00000,1.78274
109.00000,45523.42180,32.93581,-8.06347,9.50000,1.47743
110.00000,280.57535,-28.76110,28.45823,6.00000,0.14000
111.00000,133951.82290,3.81278,10.12778,5.80000,0.68000
112.00000,33438.34172,36.79976,9.77309,5.00000,0.85030
113.00000,71003.49431,14.27670,35.89690,2.70000,0.57822
114.00000,16848.85264,-12.47080,13.73190,2.20000,0.40295
115.00000,49023.12617,33.14261,-8.10668,2.00000,0.43287
116.00000,39057.22974,-5.28330,38.60000,1.90000,1.05000
117.00000,7514.19573,-2.55105,28.87959,1.50000,0.26591
118.00000,7483.18524,-2.50916,28.87503,1.50000,0.44000
119.00000,39144.30750,-5.35000,38.65000,1.40000,0.31609
120.00000,6220.90318,-19.52600,33.49300,1.20000,0.21698
121.00000,6220.90318,-19.52600,33.49300,1.20000,0.21698
122.00000,1530.44808,8.84900,9.38890,1.16000,0.17406
123.00000,9466.42229,-8.81670,20.49170,1.00000,0.19892
124.00000,282.17517,-8.40000,36.35000,1.00000,0.12252
